,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
26532,USA,United States of America,P H Glatfelter,USA0050397,103.6,39.8709,-76.8681,Coal,Waste,Oil,Gas,1984.5395752895756,P H Glatfelter Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,533.8576619999999,529.342333,474.151014,458.7890950000001,455.26191200000005,
26533,USA,United States of America,P H Glatfelter Co -Chillicothe Facility,USA0010244,92.8,39.3246,-82.974,Biomass,Waste,Gas,Other,1966.1831896551723,P H Glatfelter Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,16240,2017.0,426.8739950000001,462.424,432.978998,404.333001,357.306003,
26534,USA,United States of America,P L Bartow,USA0000634,1475.6000000000004,27.8595,-82.6018,Gas,Oil,,,2003.4434806180527,Duke Energy Florida  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,20290,2017.0,7254.328030999999,6807.183012,0.0,0.0,6927.593000000001,
26535,USA,United States of America,P Plant,USA0059456,9.2,32.8947,-117.1981,Gas,,,,2011.0,Qualcomm Incorporated,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,28.789,29.703,39.85,35.725,
26536,USA,United States of America,PA Solar Park,USA0057256,10.1,40.8601,-75.8522,Solar,,,,2012.0,Consolidated Edison Development Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,102068,2017.0,13.91346,13.914,14.546,15.119,13.968,
26537,USA,United States of America,PCA  Filer City Mill,USA0058066,19.5,44.2133,-86.2867,Gas,Biomass,Other,,1950.0,PCA  Filer City Mill,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,38672,2017.0,82.20100000000001,80.81,0.0,0.0,83.641,
26538,USA,United States of America,PCA-Valdosta Mill,USA0060084,69.9,30.6944,-83.3031,Biomass,Waste,Gas,Oil,1996.6480686695277,PCA-Valdosta Mill,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27318,2017.0,,,316.054895,321.400725,305.534635,18468.400121552688
26539,USA,United States of America,PCIP Solar,USA0058305,1.0,36.3125,-78.9675,Solar,,,,2011.0,Greenbacker Renewable Energy Corporation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,1.733,1.753,1.682,1.841,1.97,
26540,USA,United States of America,PCS Nitrogen Fertilizer LP,USA0050341,14.0,30.227,-91.0551,Cogeneration,Oil,,,2007.7142857142856,PCS Nitrogen LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,0.0,0.0,0.0
26541,USA,United States of America,PCS Phosphate,USA0050509,54.0,35.3763,-76.7799,Cogeneration,,,,1985.0,PCS Phosphate,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,338.00600000000003,317.875,298.957,291.599,293.577,
