,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
26597,USA,United States of America,Palmer Landfill,USA0060076,4.0,42.2166,-72.3155,Solar,,,,2017.0,Syncarpha Bondsville  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,0.0,4.224,1.7837106718765932
26598,USA,United States of America,Palmer Solar Center,USA0061457,5.0,37.9672,-78.231,Solar,,,,2018.0,Palmer Solar Center  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,,0.225,2.229638339845741
26599,USA,United States of America,Palmer Solar LLC,USA0059866,2.5,42.1872,-72.3656,Solar,,,,2014.0,Palmer Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,3.0,3.0,3.25,2.887,
26600,USA,United States of America,Palo Duro Wind,USA0059475,249.9,36.2439,-101.0014,Wind,,,,2015.0,Palo Duro Wind,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58823,2017.0,,84.655,1029.2,1054.267,1036.071,
26601,USA,United States of America,Palo Seco,WRI1028008,126.0,18.4551,-66.1498,Gas,,,,,,CEPR,http://energia.pr.gov/datos/plantas/,WRI,,,,,,,,887.7291178096466
26602,USA,United States of America,Palo Seco,WRI1026814,602.0,18.4553,-66.1486,Oil,,,,1960.0,PREPA,PREPA,http://www.prepa.com/PALOSECO.ASP,WRI,30942,,,,,,,3362.6504750041554
26603,USA,United States of America,Palo Verde,USA0006008,4209.6,33.3881,-112.8617,Nuclear,,,,1986.6666666666663,Arizona Public Service Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,13496,2017.0,31431.08,32320.917,32525.595,32377.477,32340.138,
26604,USA,United States of America,Palo Verde College,USA0057773,1.2,33.6617,-114.6517,Solar,,,,2009.0,SSA Solar of CA 2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,2.222,2.208,2.187,2.3000000000000003,2.11,
26605,USA,United States of America,Paloma Solar,USA0057562,17.6,33.0211,-112.6614,Solar,,,,2011.0,Arizona Public Service Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62439,2017.0,41.614,40.298,39.257,37.662,38.592,
26606,USA,United States of America,Palomar Energy,USA0055985,559.0,33.1197,-117.1178,Gas,,,,2005.4096601073345,San Diego Gas & Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49516,2017.0,3773.689,2598.647,3002.429,2299.052,2517.137,
26607,USA,United States of America,Palouse,USA0057530,105.3,47.1558,-117.3644,Wind,,,,2013.0,Novatus Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63825,2017.0,297.029,335.282,293.563,349.771,300.38,
26608,USA,United States of America,Pamlico Partners Solar,USA0058799,5.0,35.5011,-76.87,Solar,,,,2014.0,SunEnergy1,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,0.0,8.285,9.356,9.444,9.54,
26609,USA,United States of America,Panasonic Carport Solar,USA0061439,2.3,39.8087,-104.7815,Solar,Storage,,,2017.0,Public Service Co of Colorado,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,,1.349,1.025633636329041
